query_id,query
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,I want a sci-fi film
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,Show me something animated
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,Do you have any films about space travel?
f9e3b0992bd3a4314266322d0d16f33c5bcea6c88607f37dd58ddbd30fe399e0,Can I find a film set in a dystopian future?
8d9dd2ff617808fdf5326626d2510790e3b4046c50857fb17090ddf38d3698ff,I’m in the mood for a romantic comedy
dcc81e7bc16bd38f1fb3d909067c0c34fd6831bae4b46b448bc3531f554f92b6,Recommendations for thrillers
de2b3dfd7cc8ae19f5f5e41dde123c5d1b5a623876873cab6e17956777566134,Display movies featuring strong female leads
a0d1aeccd77d591fa18c68a5aab4ab1cf3305da397badd9a80a108bdecd1acbf,What are some classic films?
3b7086b600763a0aa448429d6180cd42dae78867173e49b4dd92f8e87b124b58,I’d like to see a family-friendly movie
6d1f96cbddcf15db8f6c245bb86a8d0fcbe190eb8c1fb84f1b778fa7a6eb1b0d,Do you have a film with time travel?
9d859582cc3cc8df6ec2215bfe6cf8f6a605eff7660d1874264897c6627aacb2,Show me a coming-of-age story
303b465c14502e687644242ab7103a6352ddc2357d82fc2ba648f7069eb373f7,I’m searching for an artsy film
b4c8e354b40d6de83aa505382db211766736ab3de0f7545b959b0241c2fe0e1d,Recommend a film from a foreign language
25e3ef82a4142c4a0584d5a096c06fa4de5485bdf7dea922fa7c85c55d7eea77,Find me an indie film
859291a42ab7257b3157918953c66482d77ff3079be45223cc00e04495cf5fe5,Can I see a biographical film?
92787bf83b664141a6a22542cd5ff07d27f0e49283601abe299cd35c1f9c9b54,I’d like a good musical
34dcb3eb32ce1a39c7e3dffca085858c53d6b6c711a16161223cb359e469ff18,Find me a fantasy adventure
e0d035e6f2240c08e2c305fa4abdb4e27036ae1fe527afe82b9aa054b7c1cd62,Show me cartoons for adults
02e6756d56cbc14891effcfa01c4560e77a8a9c2a37ee415c4a504d406d52e0a,Could I watch an historical drama?
7e8631a473bd8768df70a30facfdf2310a8f7b971362540a6c2fd06df976cb9a,What’s a fun road trip movie?
52b32c67333b30f798d1e0baaebb9de6189779f33c036807c9f4727c186bd0ce,Find a seasonal holiday film
1bfb24a943c4e644cfee282b79975e58598e981333c8943035a2d785c661ed14,Can you find a psychological thriller?
ad890f018dd11de4edc136ecab8a3ccf7cc12a601a09c20d784299d7aea7d913,I need something with a strong villain
cfb331683c20defb9b150ce6042446e1b3231aa58287601b0f434b47fa1d17aa,Search for cult classics
55756c1d0f5298d4b9c30d8b419e121632068675cefbc78ae79e19a6ccdcc6b3,Find a movie with Chris Pratt
9797db02154ec0babcb7968e5307d28ab2006b2b9fe7239d42564f9123b42e00,Show me an animated film
b96e6ecf78abfdd25a10c976cb4b5790352ede72b61ceeb485d8acefd9941650,Something set in space
93ef25b6f9688dd4dda309d3c658a9108a37f83d5189d5b9e9a109c62d3c35d7,Looking for horror movies
eb45aa749930c7927cd1fe8493b694b5a3e5a4e9181b83261526bf61c73c94ae,A thriller with a twist
