query_id,query,ranking,labels,user_preferences,bootstrap_samples
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,I want a sci-fi film,"[21, 764, 275, 75, 286]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,I want a sci-fi film,"[286, 275, 75, 21, 764]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,I want a sci-fi film,"[764, 275, 21, 75, 286]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,Show me something animated,"[101, 875, 976, 66, 394]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,Show me something animated,"[875, 976, 101, 66, 394]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,Show me something animated,"[101, 394, 976, 66, 875]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,Do you have any films about space travel?,"[745, 21, 114, 75, 832]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,Do you have any films about space travel?,"[114, 75, 21, 745, 832]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,Do you have any films about space travel?,"[745, 21, 75, 114, 832]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
f9e3b0992bd3a4314266322d0d16f33c5bcea6c88607f37dd58ddbd30fe399e0,Can I find a film set in a dystopian future?,"[126, 488, 113, 202, 959]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
f9e3b0992bd3a4314266322d0d16f33c5bcea6c88607f37dd58ddbd30fe399e0,Can I find a film set in a dystopian future?,"[126, 113, 959, 202, 488]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
f9e3b0992bd3a4314266322d0d16f33c5bcea6c88607f37dd58ddbd30fe399e0,Can I find a film set in a dystopian future?,"[959, 488, 126, 113, 202]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
8d9dd2ff617808fdf5326626d2510790e3b4046c50857fb17090ddf38d3698ff,I’m in the mood for a romantic comedy,"[760, 870, 533, 547, 631]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
8d9dd2ff617808fdf5326626d2510790e3b4046c50857fb17090ddf38d3698ff,I’m in the mood for a romantic comedy,"[870, 547, 533, 631, 760]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
8d9dd2ff617808fdf5326626d2510790e3b4046c50857fb17090ddf38d3698ff,I’m in the mood for a romantic comedy,"[760, 533, 870, 547, 631]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
dcc81e7bc16bd38f1fb3d909067c0c34fd6831bae4b46b448bc3531f554f92b6,Recommendations for thrillers,"[932, 999, 119, 36, 559]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
dcc81e7bc16bd38f1fb3d909067c0c34fd6831bae4b46b448bc3531f554f92b6,Recommendations for thrillers,"[999, 119, 559, 36, 932]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
dcc81e7bc16bd38f1fb3d909067c0c34fd6831bae4b46b448bc3531f554f92b6,Recommendations for thrillers,"[999, 559, 932, 36, 119]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
de2b3dfd7cc8ae19f5f5e41dde123c5d1b5a623876873cab6e17956777566134,Display movies featuring strong female leads,"[196, 885, 870, 341, 547]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
de2b3dfd7cc8ae19f5f5e41dde123c5d1b5a623876873cab6e17956777566134,Display movies featuring strong female leads,"[870, 547, 196, 885, 341]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
de2b3dfd7cc8ae19f5f5e41dde123c5d1b5a623876873cab6e17956777566134,Display movies featuring strong female leads,"[196, 341, 885, 870, 547]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
a0d1aeccd77d591fa18c68a5aab4ab1cf3305da397badd9a80a108bdecd1acbf,What are some classic films?,"[126, 51, 82, 870, 543]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
a0d1aeccd77d591fa18c68a5aab4ab1cf3305da397badd9a80a108bdecd1acbf,What are some classic films?,"[126, 870, 51, 82, 543]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
a0d1aeccd77d591fa18c68a5aab4ab1cf3305da397badd9a80a108bdecd1acbf,What are some classic films?,"[51, 82, 870, 126, 543]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
3b7086b600763a0aa448429d6180cd42dae78867173e49b4dd92f8e87b124b58,I’d like to see a family-friendly movie,"[715, 267, 377, 580, 200]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
3b7086b600763a0aa448429d6180cd42dae78867173e49b4dd92f8e87b124b58,I’d like to see a family-friendly movie,"[715, 267, 377, 580, 200]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
3b7086b600763a0aa448429d6180cd42dae78867173e49b4dd92f8e87b124b58,I’d like to see a family-friendly movie,"[267, 715, 377, 580, 200]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
6d1f96cbddcf15db8f6c245bb86a8d0fcbe190eb8c1fb84f1b778fa7a6eb1b0d,Do you have a film with time travel?,"[47, 675, 593, 479, 259]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
6d1f96cbddcf15db8f6c245bb86a8d0fcbe190eb8c1fb84f1b778fa7a6eb1b0d,Do you have a film with time travel?,"[675, 47, 593, 259, 479]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
6d1f96cbddcf15db8f6c245bb86a8d0fcbe190eb8c1fb84f1b778fa7a6eb1b0d,Do you have a film with time travel?,"[259, 675, 47, 593, 479]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
9d859582cc3cc8df6ec2215bfe6cf8f6a605eff7660d1874264897c6627aacb2,Show me a coming-of-age story,"[514, 620, 593, 907, 497]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
9d859582cc3cc8df6ec2215bfe6cf8f6a605eff7660d1874264897c6627aacb2,Show me a coming-of-age story,"[514, 620, 593, 497, 907]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
9d859582cc3cc8df6ec2215bfe6cf8f6a605eff7660d1874264897c6627aacb2,Show me a coming-of-age story,"[907, 514, 497, 620, 593]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
303b465c14502e687644242ab7103a6352ddc2357d82fc2ba648f7069eb373f7,I’m searching for an artsy film,"[521, 597, 481, 45, 875]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
303b465c14502e687644242ab7103a6352ddc2357d82fc2ba648f7069eb373f7,I’m searching for an artsy film,"[45, 481, 521, 875, 597]","['REL', 'REL', 'REL', 'REL', 'REL']",vintage movies,3
303b465c14502e687644242ab7103a6352ddc2357d82fc2ba648f7069eb373f7,I’m searching for an artsy film,"[521, 481, 875, 597, 45]","['REL', 'REL', 'REL', 'REL', 'REL']",short movies,3
b4c8e354b40d6de83aa505382db211766736ab3de0f7545b959b0241c2fe0e1d,Recommend a film from a foreign language,"[45, 431, 50, 594, 780]","['REL', 'REL', 'REL', 'REL', 'REL']",no preferences,3
