query_id,item,user_preferences,avg,sum,count,list_values
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,286,no preferences,4,12,3,"[4, 4, 4]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,275,no preferences,5,15,3,"[5, 5, 5]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,976,no preferences,4.666666667,14,3,"[4, 5, 5]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,394,no preferences,4,12,3,"[4, 4, 4]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,66,no preferences,5,15,3,"[5, 5, 5]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,486,no preferences,4,12,3,"[4, 4, 4]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,317,no preferences,4.666666667,14,3,"[5, 5, 4]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,676,no preferences,2,6,3,"[3, 2, 1]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,75,no preferences,1,3,3,"[1, 1, 1]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,875,no preferences,3,9,3,"[1, 3, 5]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,419,no preferences,5,15,3,"[5, 5, 5]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,21,no preferences,1.666666667,5,3,"[3, 1, 1]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,665,no preferences,4.666666667,14,3,"[5, 4, 5]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,764,no preferences,3.666666667,11,3,"[5, 5, 1]"
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,101,no preferences,5,15,3,"[5, 5, 5]"
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,228,no preferences,3.333333333,10,3,"[3, 2, 5]"
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,695,no preferences,3,9,3,"[3, 3, 3]"
